center,left,right,steering,throttle,speed,
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_30_698.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_30_698.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_30_698.jpg, -0.03762668, 1, 0, 30.19001
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_30_800.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_30_800.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_30_800.jpg, -0.0694634, 1, 0, 30.18953
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_30_908.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_30_908.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_30_908.jpg, -0.08826403, 1, 0, 30.18949
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_31_015.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_31_015.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_31_015.jpg, -0.09263453, 1, 0, 30.18971
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_31_116.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_31_116.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_31_116.jpg, -0.09553561, 1, 0, 30.18982
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_31_219.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_31_219.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_31_219.jpg, -0.09986843, 1, 0, 30.1899
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_31_322.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_31_322.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_31_322.jpg, -0.1027695, 1, 0, 30.18995
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_31_433.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_31_433.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_31_433.jpg, -0.1042012, 1, 0, 30.18998
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_31_542.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_31_542.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_31_542.jpg, -0.1056706, 1, 0, 30.19
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_31_645.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_31_645.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_31_645.jpg, -0.1056706, 1, 0, 30.19002
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_31_752.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_31_752.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_31_752.jpg, -0.1056706, 1, 0, 30.19004
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_31_861.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_31_861.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_31_861.jpg, -0.1049171, 1, 0, 30.19007
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_31_967.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_31_967.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_31_967.jpg, -0.1034854, 1, 0, 30.19013
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_32_071.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_32_071.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_32_071.jpg, -0.09986843, 1, 0, 30.19018
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_32_182.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_32_182.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_32_182.jpg, -0.09044927, 1, 0, 30.19031
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_32_291.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_32_291.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_32_291.jpg, -0.07017926, 1, 0, 30.19053
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_32_395.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_32_395.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_32_395.jpg, -0.05062511, 1, 0, 30.19051
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_32_505.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_32_505.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_32_505.jpg, -0.03110862, 1, 0, 30.19042
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_32_609.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_32_609.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_32_609.jpg, -0.004320564, 1, 0, 30.19033
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_32_709.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_32_709.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_32_709.jpg, 0, 1, 0, 30.19029
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_32_814.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_32_814.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_32_814.jpg, 0, 1, 0, 30.19028
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_32_914.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_32_914.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_32_914.jpg, 0, 1, 0, 30.19031
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_33_017.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_33_017.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_33_017.jpg, 0, 1, 0, 30.19038
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_33_119.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_33_119.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_33_119.jpg, 0, 1, 0, 30.19032
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_33_222.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_33_222.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_33_222.jpg, 0, 1, 0, 30.19033
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_33_324.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_33_324.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_33_324.jpg, 0, 1, 0, 30.19033
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_33_431.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_33_431.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_33_431.jpg, -0.002851181, 1, 0, 30.19028
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_33_533.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_33_533.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_33_533.jpg, -0.02312119, 1, 0, 30.19021
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_33_638.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_33_638.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_33_638.jpg, -0.04195948, 1, 0, 30.19004
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_33_746.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_33_746.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_33_746.jpg, -0.0636612, 1, 0, 30.18983
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_33_851.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_33_851.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_33_851.jpg, -0.07236451, 1, 0, 30.18986
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_33_957.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_33_957.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_33_957.jpg, -0.07236451, 1, 0, 30.19003
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_34_059.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_34_059.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_34_059.jpg, -0.07236451, 1, 0, 30.1901
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_34_163.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_34_163.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_34_163.jpg, -0.07236451, 1, 0, 30.19013
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_34_267.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_34_267.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_34_267.jpg, -0.06437706, 1, 0, 30.19027
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_34_373.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_34_373.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_34_373.jpg, -0.04339121, 1, 0, 30.19043
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_34_475.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_34_475.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_34_475.jpg, -0.02168949, 1, 0, 30.1904
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_34_583.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_34_583.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_34_583.jpg, 0, 1, 0, 30.19029
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_34_688.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_34_688.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_34_688.jpg, 0, 1, 0, 30.1903
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_34_791.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_34_791.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_34_791.jpg, 0, 1, 0, 30.19028
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_34_898.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_34_898.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_34_898.jpg, -0.002851181, 1, 0, 30.19029
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_35_003.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_35_003.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_35_003.jpg, -0.01445558, 1, 0, 30.19028
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_35_111.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_35_111.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_35_111.jpg, -0.02602228, 1, 0, 30.1902
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_35_215.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_35_215.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_35_215.jpg, -0.0303551, 1, 0, 30.19022
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_35_318.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_35_318.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_35_318.jpg, -0.0303551, 1, 0, 30.19025
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_35_420.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_35_420.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_35_420.jpg, -0.0303551, 1, 0, 30.19025
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_35_524.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_35_524.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_35_524.jpg, -0.03182448, 1, 0, 30.19027
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_35_630.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_35_630.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_35_630.jpg, -0.0361573, 1, 0, 30.19023
C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\center_2018_05_28_16_25_35_732.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\left_2018_05_28_16_25_35_732.jpg, C:\Users\helpdesk\Desktop\GuieMoura\car-behavioral-cloning-master\data\IMG\right_2018_05_28_16_25_35_732.jpg, -0.03905839, 1, 0, 30.19024
