center,left,right,steering,throttle,brake,speed
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_58_928.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_58_928.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_58_928.jpg,0,1,0,23.51705
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_58_999.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_58_999.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_58_999.jpg,0,1,0,24.27171
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_59_073.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_59_073.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_59_073.jpg,-0.15,1,0,24.84914
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_59_140.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_59_140.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_59_140.jpg,-0.35,1,0,25.5742
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_59_210.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_59_210.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_59_210.jpg,-0.5000001,1,0,26.0592
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_59_277.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_59_277.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_59_277.jpg,0,1,0,26.52761
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_59_349.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_59_349.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_59_349.jpg,0,1,0,27.25008
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_59_420.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_59_420.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_59_420.jpg,0,1,0,27.9919
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_59_492.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_59_492.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_59_492.jpg,-0.05,1,0,28.54814
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_59_564.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_59_564.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_59_564.jpg,-0.25,1,0,29.26245
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_59_635.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_59_635.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_59_635.jpg,-0.4,1,0,29.74333
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_59_706.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_59_706.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_59_706.jpg,-0.6000001,1,0,30.13602
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_59_773.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_59_773.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_59_773.jpg,0,1,0,30.16851
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_59_845.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_59_845.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_59_845.jpg,0,1,0,30.1854
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_59_915.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_59_915.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_59_915.jpg,0,1,0,30.18883
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_43_59_987.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_43_59_987.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_43_59_987.jpg,0,1,0,30.19011
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_00_057.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_00_057.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_00_057.jpg,0,1,0,30.19027
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_00_124.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_00_124.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_00_124.jpg,0,1,0,30.1903
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_00_191.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_00_191.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_00_191.jpg,0,1,0,30.19034
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_00_259.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_00_259.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_00_259.jpg,-0.1,1,0,30.18784
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_00_327.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_00_327.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_00_327.jpg,-0.25,1,0,30.17512
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_00_399.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_00_399.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_00_399.jpg,0,1,0,30.18155
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_00_469.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_00_469.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_00_469.jpg,0,1,0,30.18914
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_00_542.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_00_542.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_00_542.jpg,0,1,0,30.19064
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_00_615.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_00_615.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_00_615.jpg,-0.1,1,0,30.18925
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_00_682.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_00_682.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_00_682.jpg,-0.3,1,0,30.17153
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_00_754.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_00_754.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_00_754.jpg,-0.45,1,0,30.15323
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_00_825.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_00_825.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_00_825.jpg,0,1,0,30.18833
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_00_895.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_00_895.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_00_895.jpg,0,1,0,30.18974
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_00_965.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_00_965.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_00_965.jpg,0,1,0,30.19017
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_01_040.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_01_040.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_01_040.jpg,0,1,0,30.19032
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_01_109.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_01_109.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_01_109.jpg,0,1,0,30.19072
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_01_181.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_01_181.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_01_181.jpg,0,1,0,30.19036
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_01_251.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_01_251.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_01_251.jpg,0,1,0,30.19032
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_01_322.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_01_322.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_01_322.jpg,0,1,0,30.19036
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_01_392.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_01_392.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_01_392.jpg,0,1,0,30.19036
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_01_462.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_01_462.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_01_462.jpg,0,1,0,30.19034
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_01_531.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_01_531.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_01_531.jpg,0,1,0,30.19032
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_01_602.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_01_602.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_01_602.jpg,0,1,0,30.19029
C:\Users\helpdesk\Documents\MouraeGui\IMG\center_2018_05_22_15_44_01_673.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\left_2018_05_22_15_44_01_673.jpg,C:\Users\helpdesk\Documents\MouraeGui\IMG\right_2018_05_22_15_44_01_673.jpg,0,1,0,30.19031
